Adelaide Airport,-34.938674552999942 138.5376555360001
Adelaide Showgrounds,-34.945285254999931 138.58819351300008
Albany Wind Farm,-35.064146999999934 117.79769500000009
Alice Springs Airport,-23.796569829999953 133.89712081200003
Amcor Gawler,-34.550856999999951 138.76586400000008
Angaston,-34.503479999999968 139.02453700000001
Anglesea,-38.38605599999994 144.18278900000007
Appin (Mine),-34.208184999999958 150.77218100000005
Ardyaloon,-16.444417220999981 123.04137384300009
Argyle Diamond Mine,-16.716156999999953 128.40308000000005
Awaba,-33.025029999999958 151.5497190000001
Bairnsdale,-37.842858999999976 147.56393000000003
Ballarat Base Hospital,-37.559606999999971 143.84691800000007
Ballarat Solar Park,-37.514371364999931 143.78547291200005
Bamarang,-34.902981058999956 150.52582206400007
Bango Wind Farm,-34.605777816999932 148.86955733900004
Banimboola,-36.534208999999976 147.45942600000012
Bankstown Sports Club,-33.919699597999966 151.03324363800004
Bannaby,-34.431762232999972 150.05305831200008
Barcaldine (Len Wishaw),-23.55245199999996 145.31418600000006
Barron Gorge,-16.850198999999975 145.64649500000007
Bastyan,-41.735982999999976 145.5321120000001
Bayswater,-32.395269999999982 150.94913000000008
Beagle Bay,-16.993900064999934 122.65850864600009
Belconnen,-35.21418943599997 148.9872183870001
Bell Bay (Bell Bay Three),-41.142895999999951 146.90299800000003
Ben Lomond,-29.962256424999964 151.65852993400006
Bendeela (Shoalhaven Scheme),-34.733689999999967 150.46687000000009
Bendigo Solar Park,-36.674752419999948 144.30323895400011
Berrimah,-12.426175999999941 130.91947600000003
Berwick,-38.119701999999961 145.26646100000005
Bidyadanga,-18.681627173999971 121.78478093100011
Blackmores,-33.677770029999976 151.29080465200002
Blayney Wind Farm,-33.621889999999951 149.19821000000002
Blowering,-35.398600999999928 148.24627200000009
Blue Lake Milling Power Plant,-36.316432793999979 140.75746191900009
Bluff Point (Woolnorth) Wind Farm,-40.720673999999974 144.6869190000001
Boco Rock,-36.591414215999976 149.12967511600004
Bodangora Wind Farm,-32.413672172999952 149.05896359300004
Bogong (Mount Beauty Hydro Scheme),-36.80546099999998 147.22803400000009
Box Hill,-30.49941066699995 151.68388987800006
Braemar 1,-27.110933999999929 150.90533700000003
Braemar 2,-27.112811267999973 150.90487826100002
Bremer Bay Diesel Backup,-34.40182817799996 119.38880433100007
Bremer Bay Wind Turbine,-34.399007154999936 119.39148142400006
Brewer,-23.881697999999972 133.82814300000007
Bridgewater Solar,-36.613499140999977 143.95288053400009
Broadmeadows,-37.68778599999996 144.96631900000011
Broadwater,-29.01182799999998 153.43348100000003
Broken Hill Solar Plant,-31.986707426999942 141.39154551200011
Broken Hill,-31.986295999999982 141.42033400000003
Brooklyn,-37.817966999999953 144.83187600000008
Broome,-17.981026999999926 122.20460200000002
Brown Mountain,-36.595144999999945 149.47410700000012
Browns Plains,-27.672130999999979 153.06634600000007
Bulwer Island,-27.403579552999929 153.13628579200008
Buronga,-34.10134192299995 142.26166023300004
Burrendong,-32.664615999999967 149.1079860000001
Burrinjuck Power Station,-35.002519999999947 148.58339300000011
Burrup Peninsula (Karratha Gas Plant),-20.628648999999939 116.78214700000001
Burrup Peninsula (Pluto Phase 1),-20.593679999999949 116.78015000000005
Butlers Gorge,-42.266897999999969 146.2617580000001
CSIRO Energy Centre,-32.883473003999939 151.72745249100012
Callide A,-24.33402499999994 150.62797300000011
Callide B,-24.344879999999932 150.61974900000007
Callide C,-24.344945999999936 150.61818100000005
Camballin,-18.027757491999978 124.16208514900006
Canning Vale,-32.073898749999955 115.89140569100005
Cannington Mine,-21.860133287999929 140.91576749900003
Canunda Wind Farm,-37.760253359999979 140.40331128800005
Cape Bridgewater Wind Farm,-38.357654999999966 141.38504400000011
Cape Lambert,-20.648770635999938 117.14073131500004
Cape Nelson North Wind Farm,-38.367636999999945 141.54295900000011
Cape Nelson South Wind Farm,-38.411999999999978 141.54300000000012
Cape Preston,-21.076706137999963 116.15901566800005
Cape Sir William Grant Wind Farm,-38.397592999999972 141.62085000000002
Capital Wind Farm,-35.166030620999948 149.51856862600005
Capral (Aluminium Smelter),-32.789722999999981 151.48130500000002
Carlton,-37.806118228999935 144.96065012300005
Carnarvon Solar Farm,-24.897029118999967 113.67411610000011
Carnarvon,-24.869159678999949 113.67537540600006
Catagunya,-42.452380999999946 146.59768700000006
Cathedral Rocks Wind Farm,-34.850860999999952 135.58517200000006
